,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
day_ahead_demand_forecast_MW,8760.0,24381.69497716895,4614.168063948599,12642.0,21301.75,23577.5,26335.0,45933.0,1.280705913971931,2.4342335679418747
total_demand_MW,8758.0,24907.324960036538,4146.139965370567,14541.0,22083.25,24196.5,26607.5,44007.0,1.3292689168228533,2.5091998172561025
net_generation_MW,8758.0,21004.383649234984,5175.184389181062,207.0,17404.25,20362.0,23397.5,43709.0,1.0345236985519055,2.039082375258121
Total interchange,8664.0,-3287.2848568790396,2777.136134354098,-10277.0,-5375.25,-3748.0,-1328.75,6405.0,0.4858580328896223,-0.33342509027834266
hour,8760.0,11.5,6.922581688234342,0.0,5.75,11.5,17.25,23.0,0.0,-1.2041762651000953
day_of_week,8760.0,3.0082191780821916,2.0035192299105375,0.0,1.0,3.0,5.0,6.0,-0.003108904696481388,-1.2529328506436175
month,8760.0,6.526027397260274,3.4480481340692433,1.0,4.0,7.0,10.0,12.0,-0.010458195177743235,-1.2070559586523015
day_of_year,8760.0,183.0,105.37204323865762,1.0,92.0,183.0,274.0,365.0,0.0,-1.2000179937654742
is_weekend,8760.0,0.2876712328767123,0.4527028712262302,0.0,0.0,0.0,1.0,1.0,0.9382633448107158,-1.1199176368811024
