feature,importance
total_demand_MW_lag1,0.46185005
net_load_MW_lag1,0.34720623
day_ahead_demand_forecast_MW,0.026239341
net_load_MW_lag24,0.017748103
hour_cos,0.013235746
net_load_MW_rolling_max_12h,0.0083966935
net_load_MW_rolling_max_6h,0.00781927
net_load_ramp,0.007557447
week_of_year,0.0063487515
total_demand_MW_lag24,0.004971189
month,0.004593964
hour,0.004506579
day_of_year,0.004282758
month_cos,0.0042524035
net_load_MW_rolling_mean_12h,0.003809463
net_load_same_hour_yesterday,0.0036402447
net_load_MW_rolling_mean_6h,0.003435098
is_weekend,0.00343291
net_load_MW_rolling_max_24h,0.0034234407
net_load_MW_rolling_min_12h,0.0033131563
net_load_MW_lag2,0.0032577643
net_load_MW_lag3,0.0032168084
net_load_MW_rolling_mean_24h,0.0031955554
hour_sin,0.0031916415
net_load_MW_ewma_24h,0.003179138
net_load_MW_rolling_min_6h,0.003174964
net_load_MW_rolling_std_6h,0.0031720144
net_load_MW_rolling_min_24h,0.0030835343
net_load_MW_rolling_std_12h,0.0030781084
net_load_MW_lag12,0.0030708814
price_lag1,0.0030574782
dow_cos,0.003044078
net_load_MW_lag6,0.0029644985
net_load_MW_rolling_std_24h,0.0029381071
price_lag24,0.0029311925
net_load_MW_lag48,0.00292944
dow_sin,0.0028566257
net_load_MW_lag168,0.00260491
month_sin,0.0025813833
day_of_week,0.0024089208
