Week,Start,NL_Mean_MW,NL_Min_MW,NL_Max_MW,Cost_Nuclear_MWh,Cost_NoNuclear_MWh,Premium_pct,Shed_Nuclear_MWh,Shed_NoNuclear_MWh,Peaker_Nuclear_MW,Peaker_NoNuclear_MW,CO2_Nuclear_t,CO2_NoNuclear_t,BESS_Cycles
1,2023-01-08,21005.0,11266.0,27505.0,43.49,48.62,11.8,0.0,0.0,704.0,1818.0,1262327.0,1446819.0,0.48
2,2023-01-15,20206.0,10975.0,44478.0,64.24,76.15,18.5,7222.0,9478.0,819.0,1870.0,1203708.0,1386332.0,0.55
3,2023-01-22,18872.0,4610.0,27383.0,42.45,47.96,13.0,0.0,0.0,433.0,1661.0,1108772.0,1292649.0,2.79
4,2023-01-29,19834.0,6817.0,27535.0,42.89,48.28,12.6,0.0,0.0,627.0,1807.0,1177426.0,1362818.0,1.56
5,2023-02-05,17636.0,6247.0,26616.0,41.57,47.16,13.5,0.0,0.0,116.0,1079.0,1014708.0,1191569.0,3.54
6,2023-02-12,17994.0,6768.0,27804.0,41.77,47.29,13.2,0.0,0.0,252.0,1119.0,1040768.0,1217108.0,2.98
7,2023-02-19,18913.0,3161.0,27013.0,42.41,47.78,12.7,0.0,0.0,295.0,1255.0,1109446.0,1287976.0,2.27
8,2023-02-26,18657.0,8184.0,39460.0,49.12,61.74,25.7,2204.0,4460.0,393.0,1314.0,1088240.0,1266222.0,2.6
9,2023-03-05,18195.0,2638.0,25900.0,41.69,47.29,13.4,0.0,0.0,124.0,997.0,1053100.0,1230696.0,1.99
10,2023-03-12,18148.0,9480.0,25133.0,41.52,47.1,13.4,0.0,0.0,52.0,883.0,1045119.0,1222304.0,2.16
11,2023-03-19,18047.0,7596.0,26079.0,41.53,47.07,13.3,0.0,0.0,160.0,770.0,1041287.0,1213482.0,1.02
12,2023-03-26,17920.0,7532.0,26182.0,41.51,47.13,13.5,0.0,0.0,203.0,974.0,1032936.0,1208392.0,1.46
13,2023-04-02,16421.0,1153.0,26078.0,40.73,46.52,14.2,0.0,0.0,48.0,671.0,929746.0,1099144.0,2.53
14,2023-04-09,14593.0,4546.0,23919.0,39.76,45.54,14.5,0.0,0.0,0.0,6.0,802640.0,956569.0,3.51
15,2023-04-16,14545.0,-2852.0,23675.0,39.85,45.63,14.5,0.0,0.0,0.0,28.0,803450.0,957638.0,4.09
16,2023-04-23,15435.0,2527.0,27146.0,40.44,46.29,14.5,0.0,0.0,70.0,600.0,862104.0,1028169.0,5.04
17,2023-04-30,15933.0,-3297.0,24882.0,40.52,46.26,14.2,0.0,0.0,0.0,418.0,897083.0,1061535.0,2.89
18,2023-05-07,14209.0,5076.0,23809.0,39.13,45.0,15.0,0.0,0.0,0.0,0.0,773251.0,926662.0,3.1
19,2023-05-14,17001.0,-5153.0,28799.0,41.57,47.28,13.7,0.0,0.0,268.0,1190.0,979301.0,1154688.0,3.5
20,2023-05-21,15834.0,3359.0,28649.0,40.71,46.45,14.1,0.0,0.0,173.0,671.0,891583.0,1057160.0,4.24
21,2023-05-28,13838.0,-10048.0,23862.0,39.62,45.57,15.0,0.0,0.0,0.0,3.0,758910.0,911215.0,4.12
22,2023-06-04,16111.0,5541.0,26057.0,40.37,46.16,14.3,0.0,0.0,0.0,517.0,903472.0,1070709.0,2.81
23,2023-06-11,15163.0,303.0,26435.0,40.11,45.93,14.5,0.0,0.0,12.0,400.0,844081.0,1005755.0,3.64
24,2023-06-18,14425.0,3830.0,26014.0,39.86,45.7,14.7,0.0,0.0,30.0,166.0,793355.0,949090.0,4.48
25,2023-06-25,15928.0,-10191.0,33136.0,41.48,47.24,13.9,0.0,0.0,483.0,1018.0,914400.0,1080445.0,3.68
26,2023-07-02,17040.0,4453.0,37028.0,42.18,54.78,29.9,0.0,2028.0,911.0,1632.0,993781.0,1163834.0,4.07
27,2023-07-09,19649.0,-10369.0,36148.0,44.08,67.66,53.5,0.0,6075.0,1798.0,2598.0,1201484.0,1375929.0,1.98
28,2023-07-16,24865.0,14652.0,44900.0,81.37,252.44,210.3,14527.0,84548.0,3610.0,4682.0,1596916.0,1751623.0,4.86
29,2023-07-23,24465.0,11031.0,39677.0,89.16,231.55,159.7,17598.0,74579.0,3518.0,4602.0,1564839.0,1726465.0,4.01
30,2023-07-30,22378.0,10551.0,37428.0,45.66,77.24,69.2,172.0,10214.0,2744.0,3850.0,1403526.0,1586068.0,1.78
31,2023-08-06,22062.0,532.0,36999.0,45.11,78.5,74.0,0.0,10584.0,2500.0,3526.0,1380560.0,1559926.0,1.71
32,2023-08-13,26179.0,11285.0,41764.0,217.2,397.89,83.2,75078.0,153102.0,4358.0,5643.0,1680244.0,1836158.0,4.29
33,2023-08-20,23054.0,9448.0,38740.0,60.6,113.23,86.9,5842.0,24467.0,2836.0,4003.0,1452407.0,1631518.0,2.26
34,2023-08-27,23893.0,9117.0,40561.0,138.65,246.67,77.9,37335.0,79079.0,3161.0,4271.0,1506865.0,1674738.0,3.6
35,2023-09-03,20323.0,7939.0,37366.0,44.29,78.16,76.5,110.0,9940.0,1818.0,2888.0,1239284.0,1418515.0,2.64
36,2023-09-10,22018.0,9847.0,42412.0,58.77,81.42,38.5,5156.0,11697.0,2458.0,3603.0,1369747.0,1553959.0,1.45
37,2023-09-17,17901.0,-841.0,29179.0,42.15,47.67,13.1,0.0,0.0,429.0,1437.0,1044353.0,1222007.0,3.58
38,2023-09-24,17750.0,4343.0,28509.0,41.84,47.42,13.3,0.0,0.0,360.0,1359.0,1027145.0,1205512.0,4.51
39,2023-10-01,19506.0,875.0,36209.0,43.53,76.09,74.8,0.0,8997.0,1373.0,2384.0,1176773.0,1352583.0,3.04
40,2023-10-08,19298.0,6522.0,39518.0,50.03,66.87,33.7,2262.0,6014.0,1094.0,2152.0,1150727.0,1330184.0,2.93
41,2023-10-15,20739.0,1592.0,34562.0,44.21,49.38,11.7,0.0,0.0,1850.0,2961.0,1272642.0,1456097.0,1.26
42,2023-10-22,17214.0,3073.0,29476.0,41.35,47.01,13.7,0.0,0.0,147.0,896.0,985706.0,1158671.0,3.26
43,2023-10-29,18085.0,-5710.0,28430.0,42.37,47.89,13.0,0.0,0.0,449.0,1436.0,1061203.0,1238956.0,3.12
44,2023-11-05,17403.0,-3223.0,26689.0,41.59,47.18,13.4,0.0,0.0,71.0,935.0,999215.0,1174993.0,4.31
45,2023-11-12,19819.0,0.0,27478.0,43.1,48.41,12.3,0.0,0.0,750.0,1800.0,1183617.0,1364610.0,1.1
46,2023-11-19,17425.0,-4615.0,27586.0,41.83,47.34,13.2,0.0,0.0,262.0,953.0,1007305.0,1178131.0,3.84
47,2023-11-26,19339.0,9414.0,28152.0,42.63,48.02,12.7,0.0,0.0,572.0,1665.0,1141524.0,1324252.0,1.73
48,2023-12-03,19681.0,9607.0,27487.0,42.82,48.24,12.6,0.0,0.0,657.0,1872.0,1167010.0,1352924.0,1.55
49,2023-12-11,21118.0,10755.0,28703.0,43.86,49.08,11.9,0.0,0.0,1329.0,2713.0,1283057.0,1473329.0,0.58
50,2023-12-21,20091.0,793.0,27472.0,43.08,48.37,12.3,0.0,0.0,608.0,1801.0,1197485.0,1382168.0,1.71
