Week_Start,Hydro_Mean_MW,Hydro_Max_MW,Cost_Before_MWh,Cost_After_MWh,Shed_Before_MWh,Shed_After_MWh,Shed_Eliminated_pct
2023-01-15,2103.0,3456.0,64.24,57.13,7222.0,4813.0,33.4
2023-02-26,2020.0,3699.0,49.12,44.29,2204.0,1045.0,52.6
2023-07-02,3465.0,5618.0,42.18,39.54,0.0,0.0,100.0
2023-07-09,3650.0,5901.0,44.08,41.32,0.0,0.0,100.0
2023-07-16,3662.0,5810.0,81.37,53.8,14527.0,3438.0,76.3
2023-07-23,3586.0,5475.0,89.16,44.07,17598.0,0.0,100.0
2023-07-30,3473.0,5426.0,45.66,42.59,172.0,0.0,100.0
2023-08-06,3219.0,5397.0,45.11,42.74,0.0,0.0,100.0
2023-08-13,3498.0,5746.0,217.2,45.25,75078.0,0.0,100.0
2023-08-20,3246.0,5819.0,60.6,43.16,5842.0,0.0,100.0
2023-08-27,3331.0,5716.0,138.65,43.84,37335.0,0.0,100.0
2023-09-03,3303.0,5986.0,44.29,41.38,110.0,0.0,100.0
2023-09-10,3127.0,5570.0,58.77,47.98,5156.0,1725.0,66.5
2023-10-01,2168.0,4496.0,43.53,41.89,0.0,0.0,100.0
2023-10-08,2079.0,4286.0,50.03,41.45,2262.0,0.0,100.0
