Fold,Target,Train_Size,Test_Size,Train_End,Test_End,MAE,RMSE,R2
1,Net Load,3389,1016,2023-05-29,2023-07-10,1202.9020456742558,1855.3144001356782,0.9262275064767167
1,Price,3389,1016,2023-05-29,2023-07-10,6.125952804886747,8.712754589242868,0.6984874602838351
2,Net Load,4405,1016,2023-07-10,2023-08-21,2710.8736061231393,3737.1749523035583,0.7193388510152312
2,Price,4405,1016,2023-07-10,2023-08-21,33.87890836335109,57.12426885722677,0.18046424206899137
3,Net Load,5421,1016,2023-08-21,2023-10-03,1451.4394762228778,2044.0950320500751,0.9216863777641444
3,Price,5421,1016,2023-08-21,2023-10-03,19.125597719600425,24.27380790364593,0.5595739271421027
4,Net Load,6437,1016,2023-10-03,2023-11-15,1335.0441487586156,1821.333824667995,0.924795886011943
4,Price,6437,1016,2023-10-03,2023-11-15,8.114352869134175,11.304809533147465,0.7158522261484556
5,Net Load,7453,1016,2023-11-15,2023-12-31,1457.3380148661984,2008.2188557566863,0.8503447403503953
5,Price,7453,1016,2023-11-15,2023-12-31,7.594945915197538,9.470719506251045,0.6893829006763275
